Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_284_1689,VPWR,li1,785.2200,786.0800,1.800000
FILLER_284_1677,VPWR,li1,779.7000,786.0800,1.800000
FILLER_284_1665,VPWR,li1,774.1800,786.0800,1.800000
FILLER_284_1653,VPWR,li1,768.6600,786.0800,1.800000
FILLER_284_1651,VPWR,li1,765.2100,786.0800,1.799999
FILLER_284_1645,VPWR,li1,763.6000,786.0800,1.799999
FILLER_284_1633,VPWR,li1,759.4600,786.0800,1.799999
FILLER_284_1621,VPWR,li1,753.9400,786.0800,1.799999
FILLER_284_1609,VPWR,li1,748.4200,786.0800,1.799999
FILLER_284_1597,VPWR,li1,742.9000,786.0800,1.799999
FILLER_284_1595,VPWR,li1,739.4500,786.0800,1.799999
FILLER_284_1589,VPWR,li1,737.8400,786.0800,1.799999
FILLER_284_1577,VPWR,li1,733.7000,786.0800,1.799999
FILLER_284_1565,VPWR,li1,728.1800,786.0800,1.799999
FILLER_284_1553,VPWR,li1,722.6600,786.0800,1.799999
FILLER_284_1541,VPWR,li1,717.1400,786.0800,1.799999
FILLER_284_1539,VPWR,li1,713.6900,786.0800,1.799999
FILLER_284_1533,VPWR,li1,712.0800,786.0800,1.799999
FILLER_284_1521,VPWR,li1,707.9400,786.0800,1.799999
FILLER_284_1509,VPWR,li1,702.4200,786.0800,1.799998
FILLER_284_1497,VPWR,li1,696.9000,786.0800,1.799998
FILLER_284_1485,VPWR,li1,691.3800,786.0800,1.799998
FILLER_284_1483,VPWR,li1,687.9300,786.0800,1.799998
FILLER_284_1477,VPWR,li1,686.3200,786.0800,1.799998
FILLER_284_1465,VPWR,li1,682.1800,786.0800,1.799998
FILLER_284_1453,VPWR,li1,676.6600,786.0800,1.799998
FILLER_284_1441,VPWR,li1,671.1400,786.0800,1.799998
FILLER_284_1429,VPWR,li1,665.6200,786.0800,1.799998
FILLER_284_1427,VPWR,li1,662.1700,786.0800,1.799998
FILLER_284_1421,VPWR,li1,660.5600,786.0800,1.799998
FILLER_284_1409,VPWR,li1,656.4200,786.0800,1.799998
FILLER_284_1397,VPWR,li1,650.9000,786.0800,1.799998
FILLER_284_1385,VPWR,li1,645.3800,786.0800,1.799998
FILLER_284_1373,VPWR,li1,639.8600,786.0800,1.799998
FILLER_284_1371,VPWR,li1,636.4100,786.0800,1.799997
FILLER_284_1365,VPWR,li1,634.8000,786.0800,1.799997
FILLER_284_1353,VPWR,li1,630.6600,786.0800,1.799996
FILLER_284_1341,VPWR,li1,625.1400,786.0800,1.799995
FILLER_284_1329,VPWR,li1,619.6200,786.0800,1.799993
FILLER_284_1317,VPWR,li1,614.1000,786.0800,1.799992
FILLER_284_1315,VPWR,li1,610.6500,786.0800,1.799990
FILLER_284_1309,VPWR,li1,609.0400,786.0800,1.799990
FILLER_284_1297,VPWR,li1,604.9000,786.0800,1.799989
FILLER_284_1285,VPWR,li1,599.3800,786.0800,1.799988
FILLER_284_1273,VPWR,li1,593.8600,786.0800,1.799986
FILLER_284_1261,VPWR,li1,588.3400,786.0800,1.799985
FILLER_284_1259,VPWR,li1,584.8900,786.0800,1.799984
FILLER_284_1253,VPWR,li1,583.2800,786.0800,1.799984
FILLER_284_1241,VPWR,li1,579.1400,786.0800,1.799982
FILLER_284_1229,VPWR,li1,573.6200,786.0800,1.799981
FILLER_284_1217,VPWR,li1,568.1000,786.0800,1.799979
FILLER_284_1205,VPWR,li1,562.5800,786.0800,1.799978
FILLER_284_1203,VPWR,li1,559.1300,786.0800,1.799977
FILLER_284_1197,VPWR,li1,557.5200,786.0800,1.799977
FILLER_284_1185,VPWR,li1,553.3800,786.0800,1.799975
FILLER_284_1173,VPWR,li1,547.8600,786.0800,1.799974
FILLER_284_1161,VPWR,li1,542.3400,786.0800,1.799972
FILLER_284_1149,VPWR,li1,536.8200,786.0800,1.799971
FILLER_284_1144,VPWR,li1,532.6800,786.0800,1.799970
FILLER_284_1132,VPWR,li1,529.0000,786.0800,1.799969
FILLER_284_1120,VPWR,li1,523.4800,786.0800,1.799967
FILLER_284_1108,VPWR,li1,517.9600,786.0800,1.799965
FILLER_284_1096,VPWR,li1,512.4400,786.0800,1.799964
FILLER_284_1088,VPWR,li1,506.9200,786.0800,1.799962
FILLER_284_1076,VPWR,li1,503.2400,786.0800,1.799962
FILLER_284_1064,VPWR,li1,497.7200,786.0800,1.799961
FILLER_284_1052,VPWR,li1,492.2000,786.0800,1.799959
FILLER_284_1040,VPWR,li1,486.6800,786.0800,1.799958
FILLER_284_1030,VPWR,li1,480.7000,786.0800,1.799947
FILLER_284_1024,VPWR,li1,477.2500,786.0800,1.799935
FILLER_284_1012,VPWR,li1,473.8000,786.0800,1.799920
FILLER_284_1000,VPWR,li1,468.2800,786.0800,1.799894
FILLER_284_996,VPWR,li1,463.9100,786.0800,1.799878
FILLER_284_990,VPWR,li1,462.3000,786.0800,1.799868
FILLER_284_968,VPWR,li1,451.0300,786.0800,1.799824
FILLER_284_923,VPWR,li1,430.3300,786.0800,1.799771
FILLER_284_913,VPWR,li1,425.7300,786.0800,1.799765
FILLER_284_869,VPWR,li1,406.1800,786.0800,1.799769
FILLER_284_842,VPWR,li1,394.2200,786.0800,1.799792
FILLER_284_831,VPWR,li1,389.6200,786.0800,1.799803
FILLER_284_820,VPWR,li1,384.5600,786.0800,1.799815
FILLER_284_813,VPWR,li1,379.7300,786.0800,1.799827
FILLER_284_806,VPWR,li1,377.6600,786.0800,1.799833
FILLER_284_801,VPWR,li1,374.4400,786.0800,1.799845
FILLER_284_793,VPWR,li1,372.1400,786.0800,1.799852
FILLER_284_781,VPWR,li1,367.5400,786.0800,1.799861
FILLER_284_769,VPWR,li1,362.0200,786.0800,1.799876
FILLER_284_757,VPWR,li1,356.5000,786.0800,1.799892
FILLER_284_755,VPWR,li1,353.0500,786.0800,1.799906
FILLER_284_749,VPWR,li1,351.4400,786.0800,1.799906
FILLER_284_737,VPWR,li1,347.3000,786.0800,1.799918
FILLER_284_725,VPWR,li1,341.7800,786.0800,1.799934
FILLER_284_713,VPWR,li1,336.2600,786.0800,1.799949
FILLER_284_701,VPWR,li1,330.7400,786.0800,1.799965
FILLER_284_699,VPWR,li1,327.2900,786.0800,1.799974
FILLER_284_693,VPWR,li1,325.6800,786.0800,1.799974
FILLER_284_681,VPWR,li1,321.5400,786.0800,1.799974
FILLER_284_669,VPWR,li1,316.0200,786.0800,1.799975
FILLER_284_657,VPWR,li1,310.5000,786.0800,1.799976
FILLER_284_645,VPWR,li1,304.9800,786.0800,1.799977
FILLER_284_643,VPWR,li1,301.5300,786.0800,1.799978
FILLER_284_637,VPWR,li1,299.9200,786.0800,1.799978
FILLER_284_625,VPWR,li1,295.7800,786.0800,1.799979
FILLER_284_613,VPWR,li1,290.2600,786.0800,1.799980
